,filename,title,incident_start_time,incident_detected_time,incident_end_time,severity_level,summary,incident_duration,time_to_detect,time_to_resolve,services,service_impact_type,components,component_root_cause,impact,user_impact_type,root_cause,category_root_cause,symptom,symptom_type
0,2022-05-05_Wikimedia_full_site_outage.wikitext,Outage Impacting All Wikis for Logged-In Users,2022-05-05 05:36:00,2022-05-05 05:39:18,2022-05-05 05:55:00,Sev(3),"A schema change affected mariadb's optimizer, causing a very frequent query to take significantly longer and resulting in an outage for all wikis for 20 minutes.",00:19:00,00:03:18,00:15:42,"Wikis,Wikis",MediaWiki Core Services,"mariadb optimizer,globalblocks table,centralauth database (s7)",Databases,"For 20 minutes, all wikis were unreachable for logged-in users and non-cached pages.",Complete Service Outage,"A schema change made mariadb's optimizer change its query plan, causing a frequent query to globalblocks table on the centralauth database to take 5 seconds instead of less than a second.","Database Issues, Configuration Errors",The issue was first detected by alerts on IRC and pages indicating service appservers failed probes and high POST latency on appservers.,"Appserver Issues, Service Probes and Health Checks Failures, Latency and Timeout Issues"
1,2022-11-22_wdqs_outage.wikitext,"Wikidata Query Service Outage - November 22, 2022",2022-11-22 15:15:00,2022-11-22 15:15:00,2022-11-22 15:34:00,Sev(2),"For at least 15 minutes, users of the Wikidata Query Service either could not connect or received extremely slow responses.",00:19:00,00:00:00,00:19:00,Wikidata Query Service,"Wikidata Query Service, Database and Data Analytics","public wdqs hosts,eqiad datacenter,pybal,public wdqs hosts",Other,"For at least 15 minutes, users of the wikidata query service experienced a lack of service and/or extremely slow responses.","Complete Service Outage, Elevated Response Times and Latencies",One bad query caused this outage. A single user or query should not be able to take out an entire datacenter.,"Database Issues, Configuration Errors","The issue was first detected by a PyBal alert for all public WDQS hosts in the Eqiad datacenter, indicating a health check failure on several servers.",Service Probes and Health Checks Failures
2,2021-02-05_wmflabs_certs_expired.wikitext,Certificates Expiration for Cloud VPS Web Proxies,,,,Sev(2),"Certificates for hostnames of Cloud VPS web proxies were allowed to expire, affecting access to certain services.",00:00:00,00:00:00,00:00:00,Cloud VPS,Cloud Services and Virtual Private Servers (VPS),"web proxies,hostname certificates","Web Proxies, Other","Users were unable to access services hosted on Cloud VPS web proxies, such as https://puppet-compiler.wmflabs.org.",Complete Service Outage,Failures in the mechanism or processes responsible for renewing SSL certificates for Cloud VPS web proxies.,TLS/SSL Issues,"The issue was first detected when users reported being unable to access specific services, and validation showed expired SSL certificates.","SSL Certificate Expirations, User Reported Problems"
3,2022-07-11_Shellbox_and_parsoid_saturation.wikitext,Mobileapps HTTP 503 Errors Incident,2022-07-11 13:14:00,2022-07-11 13:14:00,2022-07-11 14:26:00,Sev(3),"On July 11, 2022, the mobileapps service experienced HTTP 503 errors for 13 minutes due to background parsing associated with VisualEditor.",01:12:00,00:00:00,01:12:00,"mobileapps,VisualEditor,VisualEditor,shellbox",API and Application Servers,"MWExtensionDialog,Lilypond,Shellbox,grafana,grafana,grafana","Other, Other, Other, Load Balancers, Monitoring & Telemetry, Monitoring & Telemetry","For 13 minutes, mobileapps service was serving HTTP 503 errors to clients.","Partial Service Outage, Increased Error Rates, API Failures","Background parsing using VisualEditor's MWExtensionDialog with an insufficient debounce interval caused heavy shellouts to Lilypond through Shellbox, overwhelming the service.","Software Bugs, Capacity Overloads","The issue was first detected at 13:14 with a ProbeDown alert indicating Service shellbox:4008 had failed probes, leading to HTTP 503 errors for clients.",Service Probes and Health Checks Failures
4,2022-05-21_varnish_cache_busting.wikitext,Incident Involving CDN Service Disruption,2022-05-21 19:01:00,2022-05-21 19:01:00,2022-05-21 19:03:00,Sev(3),"A flood of API traffic from an AWS instance caused caching servers to be overloaded, resulting in a 2-minute outage for all wikis and services served by our CDN.",00:02:00,00:00:00,00:02:00,"services served by our CDN,services served by our CDN",Other,caching servers,Caching Servers,"For 2 minutes, all wikis and services served by our CDN were unavailable to all users.",Complete Service Outage,A flood of API traffic from an AWS instance caused caching servers to be overloaded.,"Unexpected Traffic Surges, Capacity Overloads","Services behind our caching layer were up, but not reachable during this time.","Cache Layer Anomalies, Network Connectivity Problems"
5,2020-12-02_netflow-hive-migration.wikitext,Netflow Data Deletion Incident,2020-12-02 18:00:00,2020-12-03 18:00:00,2020-12-03 18:30:00,Sev(3),"On Dec 2nd 2020, the Analytics team migrated the Hive's netflow data set from the `wmf` database to the `event` database, but missed whitelisting it in the data purging job, leading to the deletion of data older than 90 days.",24:30:00,24:00:00,00:30:00,"Hive,Druid",Database and Data Analytics,"netflow data set,data retention,data retention",Other,"About 1 year and 4 months of valuable netflow data from Hive was deleted. Most of it still exists in Druid, but with some missing fields.",Data Corruption or Loss,"The purging job configuration did not whitelist the newly migrated netflow data, leading to its deletion based on the default retention policy of 90 days.",Configuration Errors,"Missing data was first noticed by a developer on Dec 3rd, 2020 at 18:00 UTC while working on a related task, who then notified the Analytics team.",User Reported Problems
6,2023-02-11_logstash_latency.wikitext,Logstash Message Congestion Incident - February 2023,2023-02-11 10:44:00,2023-02-11 10:45:55,2023-02-11 12:56:00,Sev(3),"eqiad's Logstash experienced message congestion that exhausted the latency budget, consuming 160% of the quarterly budget for delayed messages.",02:12:00,00:01:55,02:10:05,"Logstash,Kafka","Monitoring and Logging, Database and Data Analytics","Uncategorized,Uncategorized,Uncategorized","Web Servers & Application Layers, Monitoring & Telemetry","Logstash messages were delayed for 2h14m. At peak (10:58), up to 45% of messages were delayed.",Elevated Response Times and Latencies,"A flood of exceptions logged from Parsoid created congestion on the Kafka queue, which Logstash could not consume quickly enough.","Unexpected Traffic Surges, Capacity Overloads",The issue was detected by an IRC alert at 10:45: 'Too many messages in kafka logging'.,"Service Probes and Health Checks Failures, High CPU & Resource Utilization"
7,2023-01-10_eqsin_network_outage.wikitext,Incident affecting users in Asia,2023-01-10 16:00:00,2023-01-10 16:37:00,2023-01-10 20:57:00,Sev(2),Users in Asia experienced limited access to Wikipedia pages due to an outage at the eqsin data center caused by overlapping maintenance and a long-term fiber cut.,04:57:00,00:37:00,04:20:00,Wikipedia,Other,"cr3-eqsin,cr3-eqsin,cr3-eqsin,doh5002,doh5002,prometheus5001,ncredir5001,doh5002,doh5002,doh5002,text-lb.eqsin.wikimedia.org,cr3-eqsin IPv6,cr3-eqsin IPv6,cr3-eqsin IPv6,cr3-eqsin IPv6,upload-lb.eqsin.wikimedia.org","Networking Equipment, Web Proxies, Monitoring & Telemetry, Load Balancers","Users in Asia were affected for approximately 11 to 41 minutes, being able to read only cached Wikipedia pages in eqsin.","Network Connectivity Problems, Cache Issues",A long fiber cut on one transport link and scheduled maintenance on the other caused a complete outage at the eqsin data center.,Network Failures,"Automated monitoring detected the issue. Alerts included BGP status critical on multiple eqsin hosts and 100% packet loss on several key systems starting from 16:37 UTC on January 10, 2022.",Network Connectivity Problems
8,2022-12-21_shellbox-syntaxhighlight.wikitext,Shellbox Syntaxhighlight Overload Incident,2022-12-21 09:00:00,2022-12-21 09:00:00,2022-12-21 09:10:00,Sev(2),"A sudden spike in requests to shellbox-syntaxhighlight overloaded the service, leading to slow response times and increased failures.",00:10:00,00:00:00,00:10:00,"syntaxhighlighting,CirrusSearch",Other,"shellbox-syntaxhighlight,jobrunners,api_appservers,CirrusSearch job topic eqiad.mediawiki.job.cirrusSearchLinksUpdate",Other,"For about 10 minutes, syntax highlighting was slow or returning errors.","Elevated Response Times and Latencies, Increased Error Rates","The majority of requests were originating from jobrunners and api_appservers, causing the overloaded shellbox-syntaxhighlight service.","Unexpected Traffic Surges, Capacity Overloads","Initially detected by human spotting alerts on IRC, closely followed by a page. Alerts included failing http-api probes and api_appservers running out of idle workers.","Appserver Issues, Service Probes and Health Checks Failures"
9,2022-04-26_cr2-eqord_down.wikitext,Telia Link Fiber Cut Impact on Eqord Connectivity,2023-04-26 05:13:00,2023-04-26 05:00:00,2023-04-26 07:27:00,Sev(2),"On the morning of April 26, a maintenance activity by Telia took down all remaining transports from Eqord, making the Eqord networking equipment completely unreachable.",02:14:00,23:47:00,02:27:00,"Eqord,Codfw,Ulsfo",Other,"Telia Link,Eqord Networking Equipment",Other,There was no end-user impact since Eqord is a network-only location with end-user traffic for Codfw and Ulsfo naturally routed directly instead of via Eqord.,Other,"A Telia maintenance activity, coupled with a pre-existing fiber cut, led to the complete unavailability of Eqord's networking equipment.","Network Failures, External Service Failures","The issue was first detected when ping commands to 208.115.136.238 failed with 100% packet loss, and Telia circuit failure logs indicated Ethernet MAC Remote and Local Fault Delta Events.",Network Connectivity Problems
